insert() runtime [ms],get() runtime [ms],memory usage [kB],
0.011,0.001,0.520,
0.010,0.003,0.520,
0.012,0.001,0.520,
0.012,0.002,0.520,
0.011,0.002,0.520,
0.010,0.001,0.520,
0.010,0.004,0.520,
0.008,0.002,0.520,
0.011,0.001,0.520,
0.050,0.001,0.520,
0.011,0.001,0.520,
0.012,0.002,0.520,
0.014,0.001,0.520,
0.009,0.003,0.520,
0.011,0.002,0.520,
0.011,0.001,0.520,
0.009,0.001,0.520,
0.012,0.002,0.520,
0.012,0.002,0.520,
0.012,0.001,0.520,
0.010,0.001,0.520,
0.010,0.003,0.520,
0.012,0.002,0.520,
0.010,0.002,0.520,
0.012,0.002,0.520,
0.010,0.001,0.520,
0.009,0.001,0.520,
0.013,0.001,0.520,
0.012,0.002,0.520,
0.009,0.003,0.520,
0.012,0.001,0.520,
0.010,0.003,0.520,
0.011,0.002,0.520,
0.013,0.003,0.520,
0.013,0.002,0.520,
0.010,0.002,0.520,
0.013,0.001,0.520,
0.013,0.002,0.520,
0.011,0.001,0.520,
0.010,0.002,0.520,
0.013,0.002,0.520,
0.011,0.002,0.520,
0.012,0.001,0.520,
0.012,0.005,0.520,
0.014,0.006,0.520,
0.016,0.003,0.520,
0.011,0.001,0.520,
0.010,0.001,0.520,
0.011,0.001,0.520,
0.009,0.003,0.520,
0.009,0.001,0.520,
0.011,0.006,0.520,
0.014,0.001,0.520,
0.013,0.002,0.520,
0.012,0.001,0.520,
0.013,0.002,0.520,
0.013,0.003,0.520,
0.011,0.002,0.520,
0.016,0.002,0.520,
0.012,0.003,0.520,
0.012,0.001,0.520,
0.019,0.002,0.520,
0.010,0.002,0.520,
0.012,0.001,0.520,
0.011,0.002,0.520,
0.010,0.001,0.520,
0.010,0.001,0.520,
0.011,0.001,0.520,
0.009,0.001,0.520,
0.011,0.002,0.520,
0.011,0.001,0.520,
0.010,0.002,0.520,
0.012,0.002,0.520,
0.010,0.002,0.520,
0.012,0.001,0.520,
0.013,0.003,0.520,
0.010,0.001,0.520,
0.011,0.001,0.520,
0.013,0.001,0.520,
0.011,0.002,0.520,
0.010,0.001,0.520,
0.011,0.002,0.520,
0.012,0.001,0.520,
0.012,0.002,0.520,
0.009,0.001,0.520,
0.013,0.001,0.520,
0.011,0.001,0.520,
0.011,0.001,0.520,
0.010,0.001,0.520,
0.011,0.003,0.520,
0.013,0.003,0.520,
0.010,0.002,0.520,
0.011,0.003,0.520,
0.008,0.001,0.520,
0.013,0.001,0.520,
0.011,0.001,0.520,
0.010,0.003,0.520,
0.013,0.001,0.520,
0.010,0.002,0.520,
0.011,0.002,0.520,
0.013,0.002,0.520,
0.011,0.002,0.520,
0.013,0.001,0.520,
0.011,0.002,0.520,
0.013,0.003,0.520,
0.011,0.001,0.520,
0.011,0.001,0.520,
0.012,0.002,0.520,
0.012,0.001,0.520,
0.012,0.001,0.520,
0.011,0.001,0.520,
0.011,0.002,0.520,
0.009,0.002,0.520,
0.010,0.001,0.520,
0.012,0.002,0.520,
0.012,0.002,0.520,
0.011,0.001,0.520,
0.011,0.002,0.520,
0.011,0.003,0.520,
0.010,0.002,0.520,
0.010,0.002,0.520,
0.009,0.001,0.520,
0.011,0.003,0.520,
0.012,0.001,0.520,
0.009,0.002,0.520,
0.011,0.001,0.520,
0.013,0.001,0.520,
0.012,0.003,0.520,
0.008,0.001,0.520,
0.012,0.002,0.520,
0.011,0.003,0.520,
0.009,0.003,0.520,
0.009,0.002,0.520,
0.009,0.001,0.520,
0.012,0.001,0.520,
0.010,0.003,0.520,
0.010,0.003,0.520,
0.011,0.001,0.520,
0.012,0.002,0.520,
0.010,0.003,0.520,
0.013,0.002,0.520,
0.014,0.002,0.520,
0.011,0.002,0.520,
0.012,0.002,0.520,
0.009,0.002,0.520,
0.012,0.003,0.520,
0.012,0.003,0.520,
0.011,0.001,0.520,
0.013,0.003,0.520,
0.011,0.002,0.520,
0.011,0.002,0.520,
0.011,0.002,0.520,
0.012,0.002,0.520,
0.010,0.001,0.520,
0.012,0.002,0.520,
0.011,0.002,0.520,
0.012,0.002,0.520,
0.011,0.002,0.520,
0.011,0.003,0.520,
0.012,0.001,0.520,
0.010,0.002,0.520,
0.012,0.001,0.520,
0.012,0.003,0.520,
0.031,0.002,0.520,
0.011,0.002,0.520,
0.012,0.002,0.520,
0.011,0.002,0.520,
0.012,0.002,0.520,
0.013,0.013,0.520,
0.021,0.001,0.520,
0.011,0.002,0.520,
0.010,0.001,0.520,
0.013,0.001,0.520,
0.011,0.001,0.520,
0.009,0.003,0.520,
0.012,0.002,0.520,
0.011,0.002,0.520,
0.012,0.002,0.520,
0.010,0.003,0.520,
0.012,0.012,0.520,
0.013,0.002,0.520,
0.013,0.001,0.520,
0.011,0.001,0.520,
0.012,0.003,0.520,
0.013,0.002,0.520,
0.012,0.003,0.520,
0.013,0.002,0.520,
0.017,0.002,0.520,
0.015,0.001,0.520,
0.014,0.003,0.520,
0.011,0.003,0.520,
0.010,0.001,0.520,
0.012,0.001,0.520,
0.014,0.002,0.520,
0.013,0.002,0.520,
0.011,0.002,0.520,
0.015,0.001,0.520,
0.010,0.002,0.520,
0.010,0.001,0.520,
0.012,0.001,0.520,
0.012,0.003,0.520,
0.011,0.001,0.520,
0.013,0.002,0.520,
0.013,0.002,0.520,
0.012,0.002,0.520,
0.015,0.001,0.520,
0.014,0.002,0.520,
0.016,0.003,0.520,
0.012,0.002,0.520,
0.014,0.003,0.520,
0.013,0.002,0.520,
0.014,0.003,0.520,
0.011,0.004,0.520,
0.010,0.002,0.520,
0.011,0.002,0.520,
0.012,0.003,0.520,
0.011,0.001,0.520,
0.011,0.003,0.520,
0.013,0.002,0.520,
0.012,0.001,0.520,
0.011,0.000,0.520,
0.011,0.002,0.520,
0.010,0.002,0.520,
0.009,0.001,0.520,
0.012,0.002,0.520,
0.011,0.003,0.520,
0.013,0.001,0.520,
0.010,0.002,0.520,
0.011,0.002,0.520,
0.012,0.001,0.520,
0.013,0.003,0.520,
0.013,0.001,0.520,
0.012,0.002,0.520,
0.010,0.001,0.520,
0.012,0.002,0.520,
0.012,0.002,0.520,
0.010,0.002,0.520,
0.012,0.002,0.520,
0.013,0.003,0.520,
0.011,0.001,0.520,
0.012,0.001,0.520,
0.011,0.003,0.520,
0.013,0.003,0.520,
0.012,0.002,0.520,
0.011,0.002,0.520,
0.012,0.001,0.520,
0.013,0.002,0.520,
0.011,0.002,0.520,
0.011,0.002,0.520,
0.013,0.001,0.520,
0.010,0.001,0.520,
0.013,0.002,0.520,
0.010,0.001,0.520,
0.014,0.002,0.520,
0.013,0.001,0.520,
0.014,0.002,0.520,
0.013,0.002,0.520,
0.013,0.001,0.520,
0.010,0.001,0.520,
0.012,0.002,0.520,
0.011,0.001,0.520,
0.010,0.001,0.520,
0.013,0.003,0.520,
0.014,0.002,0.520,
0.013,0.002,0.520,
0.012,0.003,0.520,
0.013,0.002,0.520,
0.013,0.002,0.520,
0.016,0.002,0.520,
0.013,0.003,0.520,
0.013,0.002,0.520,
0.014,0.002,0.520,
0.014,0.005,0.520,
0.013,0.002,0.520,
0.017,0.005,0.520,
0.010,0.002,0.520,
0.012,0.001,0.520,
0.012,0.003,0.520,
0.011,0.001,0.520,
0.011,0.002,0.520,
0.011,0.003,0.520,
0.012,0.003,0.520,
0.014,0.003,0.520,
0.013,0.003,0.520,
0.014,0.001,0.520,
0.011,0.002,0.520,
0.012,0.002,0.520,
0.014,0.001,0.520,
0.013,0.003,0.520,
0.013,0.002,0.520,
0.015,0.001,0.520,
0.017,0.002,0.520,
0.014,0.002,0.520,
0.011,0.001,0.520,
0.008,0.002,0.520,
0.014,0.001,0.520,
0.016,0.003,0.520,
0.013,0.003,0.520,
0.013,0.001,0.520,
0.013,0.003,0.520,
0.011,0.003,0.520,
0.009,0.002,0.520,
0.010,0.003,0.520,
0.014,0.002,0.520,
0.014,0.001,0.520,
0.012,0.001,0.520,
0.008,0.002,0.520,
0.011,0.002,0.520,
0.011,0.001,0.520,
0.014,0.003,0.520,
0.013,0.003,0.520,
0.012,0.003,0.520,
0.012,0.002,0.520,
0.011,0.003,0.520,
0.012,0.002,0.520,
0.012,0.002,0.520,
0.012,0.002,0.520,
0.015,0.003,0.520,
0.015,0.005,0.520,
0.012,0.003,0.520,
0.015,0.002,0.520,
0.017,0.002,0.520,
0.014,0.002,0.520,
0.013,0.002,0.520,
0.025,0.003,0.520,
0.015,0.002,0.520,
0.014,0.002,0.520,
0.012,0.001,0.520,
0.013,0.002,0.520,
0.013,0.004,0.520,
0.011,0.002,0.520,
0.013,0.002,0.520,
0.010,0.001,0.520,
0.011,0.002,0.520,
0.013,0.001,0.520,
0.011,0.001,0.520,
0.013,0.001,0.520,
0.012,0.002,0.520,
0.012,0.001,0.520,
0.014,0.002,0.520,
0.013,0.002,0.520,
0.013,0.003,0.520,
0.009,0.002,0.520,
0.013,0.002,0.520,
0.013,0.003,0.520,
0.010,0.001,0.520,
0.010,0.001,0.520,
0.012,0.003,0.520,
0.011,0.001,0.520,
0.011,0.003,0.520,
0.012,0.002,0.520,
0.014,0.002,0.520,
0.013,0.001,0.520,
0.014,0.002,0.520,
0.011,0.002,0.520,
0.010,0.001,0.520,
0.011,0.002,0.520,
0.012,0.001,0.520,
0.013,0.001,0.520,
0.011,0.003,0.520,
0.012,0.002,0.520,
0.012,0.003,0.520,
0.012,0.002,0.520,
0.013,0.002,0.520,
0.023,0.001,0.520,
0.014,0.001,0.520,
0.013,0.001,0.520,
0.014,0.001,0.520,
0.012,0.002,0.520,
0.011,0.002,0.520,
0.013,0.003,0.520,
0.014,0.003,0.520,
0.012,0.001,0.520,
0.014,0.002,0.520,
0.013,0.003,0.520,
0.013,0.002,0.520,
0.015,0.002,0.520,
0.010,0.002,0.520,
0.011,0.001,0.520,
0.013,0.002,0.520,
0.013,0.001,0.520,
0.011,0.001,0.520,
0.013,0.001,0.520,
0.013,0.002,0.520,
0.010,0.001,0.520,
0.012,0.003,0.520,
0.012,0.002,0.520,
0.012,0.003,0.520,
0.011,0.001,0.520,
0.014,0.003,0.520,
0.012,0.001,0.520,
0.013,0.001,0.520,
0.011,0.002,0.520,
0.012,0.001,0.520,
0.013,0.002,0.520,
0.013,0.002,0.520,
0.013,0.002,0.520,
0.012,0.002,0.520,
0.011,0.002,0.520,
0.012,0.003,0.520,
0.012,0.002,0.520,
0.013,0.002,0.520,
0.013,0.001,0.520,
0.012,0.002,0.520,
0.014,0.004,0.520,
0.015,0.001,0.520,
0.014,0.002,0.520,
0.010,0.003,0.520,
0.014,0.002,0.520,
0.011,0.002,0.520,
0.011,0.003,0.520,
0.015,0.001,0.520,
0.013,0.002,0.520,
0.011,0.002,0.520,
0.015,0.001,0.520,
0.009,0.002,0.520,
0.012,0.002,0.520,
0.013,0.001,0.520,
0.012,0.003,0.520,
0.013,0.002,0.520,
0.011,0.001,0.520,
0.012,0.003,0.520,
0.014,0.002,0.520,
0.011,0.004,0.520,
0.012,0.002,0.520,
0.011,0.003,0.520,
0.011,0.002,0.520,
0.014,0.002,0.520,
0.013,0.002,0.520,
0.013,0.001,0.520,
0.014,0.001,0.520,
0.013,0.002,0.520,
0.011,0.002,0.520,
0.013,0.003,0.520,
0.011,0.002,0.520,
0.011,0.001,0.520,
0.012,0.001,0.520,
0.010,0.003,0.520,
0.014,0.002,0.520,
0.013,0.001,0.520,
0.013,0.012,0.520,
0.018,0.002,0.520,
0.015,0.002,0.520,
0.013,0.002,0.520,
0.014,0.002,0.520,
0.013,0.003,0.520,
0.011,0.001,0.520,
0.012,0.002,0.520,
0.012,0.002,0.520,
0.012,0.002,0.520,
0.011,0.002,0.520,
0.009,0.001,0.520,
0.013,0.002,0.520,
0.015,0.001,0.520,
0.012,0.003,0.520,
0.011,0.001,0.520,
0.011,0.002,0.520,
0.014,0.001,0.520,
0.013,0.002,0.520,
0.012,0.002,0.520,
0.011,0.001,0.520,
0.012,0.003,0.520,
0.011,0.001,0.520,
0.012,0.001,0.520,
0.013,0.003,0.520,
0.011,0.001,0.520,
0.013,0.002,0.520,
0.010,0.001,0.520,
0.040,0.027,0.520,
0.011,0.002,0.520,
0.014,0.001,0.520,
0.097,0.002,0.520,
0.013,0.003,0.520,
0.012,0.002,0.520,
0.020,0.001,0.520,
0.013,0.003,0.520,
0.011,0.005,0.520,
0.012,0.003,0.520,
0.012,0.002,0.520,
0.013,0.003,0.520,
0.011,0.003,0.520,
0.009,0.003,0.520,
0.011,0.003,0.520,
0.012,0.002,0.520,
0.011,0.001,0.520,
0.015,0.002,0.520,
0.013,0.002,0.520,
0.012,0.002,0.520,
0.015,0.003,0.520,
0.013,0.001,0.520,
0.011,0.002,0.520,
0.012,0.002,0.520,
0.015,0.002,0.520,
0.008,0.003,0.520,
0.011,0.002,0.520,
0.013,0.001,0.520,
0.012,0.002,0.520,
0.013,0.001,0.520,
0.012,0.002,0.520,
0.012,0.001,0.520,
0.013,0.001,0.520,
0.012,0.002,0.520,
0.014,0.003,0.520,
0.013,0.001,0.520,
0.013,0.001,0.520,
0.013,0.001,0.520,
0.010,0.004,0.520,
0.012,0.002,0.520,
0.012,0.002,0.520,
0.012,0.001,0.520,
0.015,0.002,0.520,
0.015,0.002,0.520,
0.014,0.002,0.520,
0.022,0.002,0.520,
0.014,0.002,0.520,
0.011,0.002,0.520,
0.013,0.003,0.520,
0.014,0.002,0.520,
0.011,0.003,0.520,
0.010,0.002,0.520,
0.013,0.003,0.520,
0.013,0.000,0.520,
0.012,0.001,0.520,
0.012,0.002,0.520,
0.012,0.003,0.520,
0.013,0.001,0.520,
0.013,0.003,0.520,
0.012,0.001,0.520,
0.013,0.003,0.520,
0.012,0.002,0.520,
0.014,0.003,0.520,
0.010,0.003,0.520,
0.013,0.001,0.520,
0.012,0.002,0.520,
0.009,0.002,0.520,
0.012,0.002,0.520,
0.011,0.003,0.520,
0.010,0.002,0.520,
0.011,0.002,0.520,
0.011,0.002,0.520,
0.012,0.001,0.520,
0.012,0.001,0.520,
0.011,0.002,0.520,
0.012,0.002,0.520,
0.014,0.002,0.520,
0.010,0.003,0.520,
0.012,0.003,0.520,
0.010,0.002,0.520,
0.015,0.001,0.520,
0.010,0.002,0.520,
0.012,0.002,0.520,
0.012,0.003,0.520,
0.013,0.001,0.520,
0.009,0.001,0.520,
0.026,0.003,0.520,
0.013,0.003,0.520,
0.012,0.001,0.520,
0.009,0.003,0.520,
0.012,0.003,0.520,
0.011,0.003,0.520,
0.011,0.003,0.520,
0.011,0.002,0.520,
0.009,0.002,0.520,
0.013,0.002,0.520,
0.012,0.004,0.520,
0.011,0.001,0.520,
0.013,0.003,0.520,
0.011,0.003,0.520,
0.013,0.003,0.520,
0.013,0.002,0.520,
0.011,0.002,0.520,
0.011,0.002,0.520,
0.012,0.003,0.520,
0.011,0.001,0.520,
0.010,0.001,0.520,
0.012,0.001,0.520,
0.010,0.002,0.520,
0.013,0.003,0.520,
0.012,0.002,0.520,
0.011,0.001,0.520,
0.010,0.002,0.520,
0.009,0.001,0.520,
0.010,0.002,0.520,
0.011,0.003,0.520,
0.012,0.003,0.520,
0.011,0.002,0.520,
0.012,0.001,0.520,
0.013,0.001,0.520,
0.009,0.001,0.520,
0.010,0.001,0.520,
0.010,0.001,0.520,
0.012,0.002,0.520,
0.012,0.001,0.520,
0.013,0.002,0.520,
0.009,0.001,0.520,
0.012,0.002,0.520,
0.013,0.002,0.520,
0.013,0.002,0.520,
0.014,0.002,0.520,
0.012,0.003,0.520,
0.011,0.003,0.520,
0.013,0.002,0.520,
0.010,0.002,0.520,
0.012,0.002,0.520,
0.011,0.001,0.520,
0.010,0.001,0.520,
0.012,0.002,0.520,
0.012,0.002,0.520,
0.013,0.001,0.520,
0.011,0.002,0.520,
0.013,0.001,0.520,
0.012,0.002,0.520,
0.012,0.003,0.520,
0.013,0.002,0.520,
0.010,0.001,0.520,
0.010,0.001,0.520,
0.012,0.002,0.520,
0.011,0.002,0.520,
0.012,0.003,0.520,
0.013,0.001,0.520,
0.013,0.003,0.520,
0.011,0.003,0.520,
0.013,0.004,0.520,
0.012,0.002,0.520,
0.010,0.003,0.520,
0.011,0.001,0.520,
0.015,0.002,0.520,
0.013,0.002,0.520,
0.012,0.003,0.520,
0.013,0.002,0.520,
0.012,0.002,0.520,
0.010,0.001,0.520,
0.012,0.001,0.520,
0.050,0.002,0.520,
0.014,0.032,0.520,
0.013,0.003,0.520,
0.014,0.001,0.520,
0.015,0.003,0.520,
0.010,0.001,0.520,
0.011,0.001,0.520,
0.014,0.002,0.520,
0.010,0.003,0.520,
0.012,0.001,0.520,
0.013,0.002,0.520,
0.012,0.003,0.520,
0.012,0.002,0.520,
0.013,0.003,0.520,
0.012,0.001,0.520,
0.012,0.003,0.520,
0.014,0.002,0.520,
0.011,0.004,0.520,
0.013,0.001,0.520,
0.010,0.001,0.520,
0.014,0.003,0.520,
0.012,0.002,0.520,
0.011,0.003,0.520,
0.011,0.002,0.520,
0.012,0.002,0.520,
0.013,0.003,0.520,
0.010,0.001,0.520,
0.010,0.002,0.520,
0.009,0.002,0.520,
0.012,0.001,0.520,
0.012,0.002,0.520,
0.014,0.003,0.520,
0.012,0.002,0.520,
0.013,0.002,0.520,
0.011,0.001,0.520,
0.011,0.003,0.520,
0.011,0.002,0.520,
0.013,0.002,0.520,
0.012,0.002,0.520,
0.012,0.002,0.520,
0.012,0.001,0.520,
0.013,0.002,0.520,
0.011,0.011,0.520,
0.014,0.002,0.520,
0.015,0.002,0.520,
0.013,0.003,0.520,
0.016,0.002,0.520,
0.011,0.003,0.520,
0.014,0.002,0.520,
0.015,0.002,0.520,
0.011,0.002,0.520,
0.013,0.003,0.520,
0.013,0.001,0.520,
0.013,0.001,0.520,
0.012,0.002,0.520,
0.014,0.002,0.520,
0.012,0.003,0.520,
0.014,0.001,0.520,
0.012,0.001,0.520,
0.014,0.003,0.520,
0.014,0.001,0.520,
0.012,0.002,0.520,
0.013,0.001,0.520,
0.014,0.001,0.520,
0.011,0.001,0.520,
0.013,0.002,0.520,
0.011,0.003,0.520,
0.012,0.001,0.520,
0.013,0.002,0.520,
0.014,0.004,0.520,
0.012,0.002,0.520,
0.013,0.002,0.520,
0.013,0.002,0.520,
0.012,0.002,0.520,
0.014,0.001,0.520,
0.012,0.002,0.520,
0.014,0.002,0.520,
0.013,0.002,0.520,
0.013,0.002,0.520,
0.013,0.002,0.520,
0.015,0.001,0.520,
0.013,0.002,0.520,
0.012,0.003,0.520,
0.015,0.004,0.520,
0.019,0.001,0.520,
0.016,0.003,0.520,
0.016,0.001,0.520,
0.020,0.003,0.520,
0.015,0.002,0.520,
0.016,0.001,0.520,
0.013,0.002,0.520,
0.015,0.003,0.520,
0.013,0.003,0.520,
0.014,0.001,0.520,
0.016,0.003,0.520,
0.016,0.001,0.520,
0.018,0.002,0.520,
0.016,0.001,0.520,
0.018,0.003,0.520,
0.013,0.001,0.520,
0.013,0.001,0.520,
0.011,0.003,0.520,
0.013,0.002,0.520,
0.014,0.002,0.520,
0.016,0.003,0.520,
0.022,0.002,0.520,
0.016,0.001,0.520,
0.011,0.003,0.520,
0.014,0.002,0.520,
0.013,0.003,0.520,
0.010,0.004,0.520,
0.010,0.002,0.520,
0.013,0.003,0.520,
0.011,0.001,0.520,
0.011,0.004,0.520,
0.012,0.002,0.520,
0.011,0.001,0.520,
0.012,0.003,0.520,
0.012,0.001,0.520,
0.012,0.002,0.520,
0.012,0.003,0.520,
0.012,0.003,0.520,
0.010,0.001,0.520,
0.011,0.003,0.520,
0.011,0.002,0.520,
0.011,0.002,0.520,
0.010,0.001,0.520,
0.011,0.003,0.520,
0.011,0.001,0.520,
0.012,0.002,0.520,
0.011,0.002,0.520,
0.010,0.001,0.520,
0.013,0.001,0.520,
0.010,0.003,0.520,
0.009,0.002,0.520,
0.008,0.002,0.520,
0.011,0.003,0.520,
0.014,0.002,0.520,
0.010,0.002,0.520,
0.009,0.001,0.520,
0.014,0.002,0.520,
0.008,0.002,0.520,
0.013,0.002,0.520,
0.012,0.001,0.520,
0.010,0.002,0.520,
0.011,0.002,0.520,
0.012,0.001,0.520,
0.010,0.003,0.520,
0.012,0.002,0.520,
0.011,0.001,0.520,
0.011,0.002,0.520,
0.011,0.003,0.520,
0.012,0.001,0.520,
0.008,0.003,0.520,
0.011,0.001,0.520,
0.011,0.003,0.520,
0.011,0.003,0.520,
0.011,0.001,0.520,
0.010,0.001,0.520,
0.012,0.001,0.520,
0.011,0.002,0.520,
0.011,0.002,0.520,
0.011,0.002,0.520,
0.011,0.003,0.520,
0.012,0.002,0.520,
0.010,0.002,0.520,
0.011,0.001,0.520,
0.012,0.001,0.520,
0.009,0.003,0.520,
0.011,0.002,0.520,
0.011,0.002,0.520,
0.010,0.002,0.520,
0.010,0.003,0.520,
0.011,0.002,0.520,
0.012,0.002,0.520,
0.010,0.001,0.520,
0.012,0.002,0.520,
0.014,0.001,0.520,
0.006,0.003,0.520,
0.012,0.001,0.520,
0.011,0.002,0.520,
0.013,0.002,0.520,
0.012,0.001,0.520,
0.011,0.001,0.520,
0.010,0.002,0.520,
0.011,0.002,0.520,
0.011,0.003,0.520,
0.011,0.002,0.520,
0.011,0.002,0.520,
0.012,0.002,0.520,
0.009,0.002,0.520,
0.012,0.003,0.520,
0.010,0.002,0.520,
0.012,0.002,0.520,
0.010,0.003,0.520,
0.011,0.002,0.520,
0.012,0.002,0.520,
0.013,0.002,0.520,
0.010,0.003,0.520,
0.011,0.001,0.520,
0.011,0.003,0.520,
0.011,0.003,0.520,
0.012,0.002,0.520,
0.011,0.002,0.520,
0.012,0.001,0.520,
0.011,0.002,0.520,
0.011,0.001,0.520,
0.011,0.001,0.520,
0.009,0.002,0.520,
0.012,0.003,0.520,
0.011,0.003,0.520,
0.010,0.002,0.520,
0.009,0.001,0.520,
0.011,0.002,0.520,
0.011,0.002,0.520,
0.008,0.002,0.520,
0.010,0.002,0.520,
0.010,0.001,0.520,
0.012,0.002,0.520,
0.012,0.001,0.520,
0.021,0.003,0.520,
0.012,0.001,0.520,
0.012,0.002,0.520,
0.012,0.003,0.520,
0.012,0.001,0.520,
0.013,0.002,0.520,
0.013,0.001,0.520,
0.010,0.001,0.520,
0.012,0.001,0.520,
0.011,0.001,0.520,
0.010,0.003,0.520,
0.010,0.003,0.520,
0.012,0.002,0.520,
0.012,0.002,0.520,
0.011,0.002,0.520,
0.013,0.017,0.520,
0.027,0.002,0.520,
0.011,0.001,0.520,
0.011,0.002,0.520,
0.011,0.002,0.520,
0.010,0.001,0.520,
0.011,0.003,0.520,
0.010,0.001,0.520,
0.011,0.004,0.520,
0.012,0.003,0.520,
0.011,0.001,0.520,
0.010,0.002,0.520,
0.011,0.002,0.520,
0.011,0.001,0.520,
0.011,0.003,0.520,
0.011,0.001,0.520,
0.011,0.001,0.520,
0.011,0.001,0.520,
0.007,0.002,0.520,
0.010,0.003,0.520,
0.010,0.002,0.520,
0.013,0.001,0.520,
0.009,0.003,0.520,
0.012,0.002,0.520,
0.011,0.002,0.520,
0.019,0.002,0.520,
0.012,0.003,0.520,
0.010,0.002,0.520,
0.010,0.001,0.520,
0.013,0.002,0.520,
0.011,0.003,0.520,
0.010,0.002,0.520,
0.016,0.001,0.520,
0.015,0.003,0.520,
0.015,0.001,0.520,
0.017,0.001,0.520,
0.016,0.002,0.520,
0.017,0.003,0.520,
0.016,0.003,0.520,
0.015,0.002,0.520,
0.017,0.002,0.520,
0.018,0.002,0.520,
0.015,0.001,0.520,
0.015,0.002,0.520,
0.015,0.002,0.520,
0.019,0.002,0.520,
0.017,0.003,0.520,
0.015,0.002,0.520,
0.014,0.002,0.520,
0.014,0.003,0.520,
0.015,0.001,0.520,
0.015,0.002,0.520,
0.019,0.002,0.520,
0.019,0.001,0.520,
0.015,0.002,0.520,
0.014,0.001,0.520,
0.014,0.002,0.520,
0.017,0.001,0.520,
0.019,0.001,0.520,
0.022,0.002,0.520,
0.016,0.003,0.520,
0.016,0.002,0.520,
0.017,0.002,0.520,
0.017,0.002,0.520,
0.020,0.002,0.520,
0.019,0.002,0.520,
0.016,0.002,0.520,
0.018,0.002,0.520,
0.017,0.002,0.520,
0.019,0.002,0.520,
0.017,0.001,0.520,
0.018,0.002,0.520,
0.019,0.002,0.520,
0.019,0.002,0.520,
0.017,0.003,0.520,
0.010,0.003,0.520,
0.012,0.002,0.520,
0.012,0.002,0.520,
0.013,0.002,0.520,
0.017,0.002,0.520,
0.014,0.003,0.520,
0.017,0.001,0.520,
0.017,0.002,0.520,
0.012,0.002,0.520,
0.013,0.001,0.520,
0.017,0.003,0.520,
0.012,0.003,0.520,
0.012,0.002,0.520,
0.014,0.002,0.520,
0.014,0.003,0.520,
0.012,0.002,0.520,
0.015,0.003,0.520,
0.015,0.002,0.520,
0.015,0.003,0.520,
0.016,0.002,0.520,
0.015,0.002,0.520,
0.014,0.002,0.520,
0.012,0.002,0.520,
0.015,0.002,0.520,
0.017,0.001,0.520,
0.014,0.002,0.520,
0.014,0.002,0.520,
0.016,0.001,0.520,
0.017,0.003,0.520,
0.014,0.003,0.520,
0.018,0.002,0.520,
0.018,0.001,0.520,
0.018,0.002,0.520,
0.013,0.003,0.520,
0.014,0.001,0.520,
0.018,0.002,0.520,
0.020,0.003,0.520,
0.018,0.002,0.520,
0.018,0.004,0.520,
0.015,0.002,0.520,
0.013,0.001,0.520,
0.010,0.002,0.520,
0.011,0.003,0.520,
0.011,0.002,0.520,
0.011,0.002,0.520,
0.011,0.001,0.520,
0.012,0.001,0.520,
0.009,0.001,0.520,
0.011,0.002,0.520,
0.012,0.001,0.520,
0.011,0.003,0.520,
0.011,0.001,0.520,
0.011,0.001,0.520,
0.011,0.002,0.520,
0.010,0.001,0.520,
0.012,0.002,0.520,
0.010,0.002,0.520,
0.012,0.002,0.520,
0.012,0.001,0.520,
0.012,0.001,0.520,
0.013,0.002,0.520,
0.012,0.001,0.520,
0.011,0.001,0.520,
0.010,0.001,0.520,
0.024,0.002,0.520,
0.011,0.003,0.520,
0.013,0.003,0.520,
0.010,0.002,0.520,
0.014,0.003,0.520,
0.008,0.002,0.520,
0.010,0.001,0.520,
0.012,0.002,0.520,
0.120,0.003,0.520,
0.011,0.003,0.520,
0.011,0.003,0.520,
0.010,0.004,0.520,
0.009,0.004,0.520,
0.011,0.002,0.520,
0.011,0.003,0.520,
0.010,0.002,0.520,
0.008,0.002,0.520,
0.012,0.002,0.520,
0.011,0.003,0.520,
0.013,0.001,0.520,
0.009,0.002,0.520,
0.010,0.001,0.520,
0.010,0.002,0.520,
0.023,0.003,0.520,
0.010,0.003,0.520,
0.010,0.003,0.520,
0.012,0.003,0.520,
0.011,0.001,0.520,
0.011,0.003,0.520,
0.013,0.002,0.520,
0.010,0.002,0.520,
0.010,0.002,0.520,
0.010,0.001,0.520,
0.011,0.001,0.520,
0.012,0.003,0.520,
0.010,0.002,0.520,
0.011,0.003,0.520,
0.011,0.002,0.520,
0.012,0.003,0.520,
0.010,0.001,0.520,
0.012,0.003,0.520,
0.010,0.001,0.520,
0.011,0.001,0.520,
0.012,0.001,0.520,
0.012,0.002,0.520,
0.010,0.002,0.520,
0.011,0.002,0.520,
0.010,0.003,0.520,
0.012,0.001,0.520,
0.013,0.002,0.520,
0.012,0.001,0.520,
0.011,0.001,0.520,
0.009,0.001,0.520,
0.012,0.001,0.520,
0.013,0.001,0.520,
0.010,0.002,0.520,
0.012,0.001,0.520,
0.012,0.002,0.520,
0.009,0.002,0.520,
0.009,0.004,0.520,
0.011,0.003,0.520,
0.011,0.002,0.520,
0.011,0.001,0.520,
0.012,0.002,0.520,
0.010,0.002,0.520,
0.011,0.001,0.520,
0.013,0.001,0.520,
